Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"001-0101",3U : Urban Principal Arterial - Other,31.715363,-82.381788,2023,4720,Estimated,377,406,0.937,0.349,0.0795,0.55,8490,Short Term
"001-0105",3U : Urban Principal Arterial - Other,31.767430,-82.353490,2023,12600,Estimated,562,1493,0.227,0.672,0.0832,0.53,23900,Short Term
"001-0107",3U : Urban Principal Arterial - Other,31.773846,-82.350339,2023,16100,Estimated,922,1443,0.492,0.243,0.0812,0.51,24000,Short Term
"001-0109",3U : Urban Principal Arterial - Other,31.779416,-82.348327,2023,11800,Actual,871,740,0.482,0.364,0.0914,0.51,17500,Short Term
"001-0112",3U : Urban Principal Arterial - Other,31.786264,-82.350183,2023,8460,Estimated,460,568,0.047,0.067,0.0841,0.51,10700,Short Term
"001-0114",3U : Urban Principal Arterial - Other,31.836979,-82.350421,2023,5620,Estimated,345,612,0.311,0.331,0.0817,0.62,7080,Short Term
"001-0118",3R : Rural Principal Arterial - Other,31.909228,-82.356139,2023,6050,Estimated,403,669,0.391,0.697,0.0832,0.52,7620,Short Term
"001-0121",4R : Rural Minor Arterial,31.545377,-82.207377,2023,2170,Estimated,,,,,0.0948,0.51,3160,Short Term
"001-0123",4R : Rural Minor Arterial,31.619640,-82.256298,2023,1740,Actual,197,251,0.744,0.744,0.1188,0.57,2190,Short Term
"001-0125",4U : Urban Minor Arterial,31.681809,-82.302278,2023,2330,Estimated,235,298,0.492,0.861,0.0889,0.54,3170,Short Term
"001-0127",4U : Urban Minor Arterial,31.715192,-82.333471,2023,3450,Estimated,240,296,0.716,0.298,0.1029,0.66,4460,Short Term
"001-0129",4U : Urban Minor Arterial,31.754227,-82.351713,2023,5130,Estimated,260,254,0.3,0.364,0.0904,0.59,6460,Short Term
"001-0132",4U : Urban Minor Arterial,31.762394,-82.354235,2023,7850,Estimated,434,272,0.708,0.21,0.1278,0.54,9890,Short Term
"001-0133",4R : Rural Minor Arterial,31.713413,-82.520596,2023,1990,Estimated,175,353,1.074,0.972,0.0905,0.54,2900,Short Term
"001-0134",4R : Rural Minor Arterial,31.747514,-82.544050,2023,1940,Estimated,179,353,0.531,1.01,0.0792,0.58,3650,Short Term
"001-0136",3R : Rural Principal Arterial - Other,31.834715,-82.509436,2023,6810,Estimated,432,1092,0.359,0.718,0.0916,0.53,11800,Short Term
"001-0138",3U : Urban Principal Arterial - Other,31.811259,-82.442870,2023,7780,Estimated,466,1296,0.476,0.688,0.0822,0.59,11900,Short Term
"001-0141",3U : Urban Principal Arterial - Other,31.780828,-82.355952,2023,14800,Estimated,726,1016,0.462,0.428,0.097,0.5,22900,Short Term
"001-0143",3U : Urban Principal Arterial - Other,31.775727,-82.340071,2023,11200,Estimated,856,389,0.065,0.035,0.086,0.51,15500,Short Term
"001-0145",3U : Urban Principal Arterial - Other,31.745106,-82.253012,2023,5430,Estimated,332,1119,0.482,0.983,0.085,0.54,9470,Short Term
"001-0152",3R : Rural Principal Arterial - Other,31.723267,-82.186845,2023,5490,Estimated,297,1410,0.3,0.994,0.0763,0.54,8780,Short Term
"001-0156",5R : Rural Major Collector,31.591762,-82.272027,2023,900,Estimated,72,89,0.227,0.682,0.0943,0.58,1130,Short Term
"001-0158",5R : Rural Major Collector,31.589284,-82.218167,2023,960,Estimated,57,145,0.526,1.682,0.0873,0.53,1210,Short Term
"001-0161",5R : Rural Major Collector,31.590903,-82.179122,2023,1100,Estimated,91,116,0.653,0.28,0.084,0.51,1540,Short Term
"001-0163",4R : Rural Minor Arterial,31.577552,-82.208543,2023,530,Estimated,58,138,1.239,1.363,0.1108,0.71,670,Short Term
"001-0165",4R : Rural Minor Arterial,31.659805,-82.207853,2023,1250,Estimated,89,263,0.493,1.888,0.0829,0.53,1670,Short Term
"001-0169",4R : Rural Minor Arterial,31.726543,-82.196423,2023,1390,Estimated,123,265,0.367,0.807,0.0917,0.54,1850,Short Term
"001-0170",4R : Rural Minor Arterial,31.776909,-82.155205,2023,1250,Actual,109,257,0.996,1.328,0.0996,0.57,2260,Short Term
"001-0172",4R : Rural Minor Arterial,31.848848,-82.098418,2023,3990,Estimated,429,738,0.818,1.124,0.082,0.54,7100,Short Term
