Latitude,Longitude,AADT
33.63307,-84.286967,22800
33.632548,-84.305956,22900
33.621225,-84.284876,5330
33.638696,-84.282624,9910
33.6232,-84.2979,74300
33.6407,-84.3111,82400
33.625885,-84.384499,24500
33.630521,-84.386337,28200
33.637851,-84.39033,550
33.640677,-84.457136,9910
33.620799,-84.309253,14700
33.643801,-84.324834,19300
33.61004,-84.346217,25000
33.617402,-84.350009,29000
33.632046,-84.357189,24400
33.640029,-84.361427,22400
33.609831,-84.402997,48500
33.617517,-84.409451,13300
33.618308,-84.442637,14100
33.622003,-84.448922,18600
33.629973,-84.450389,20200
33.629692,-84.454222,18600
33.625437,-84.381154,3810
33.621848,-84.367222,4670
33.619711,-84.357701,5530
33.641285,-84.353771,5360
33.616818,-84.44982,13100
33.618662,-84.40199,19500
33.615831,-84.352138,19300
33.618379,-84.392236,25900
33.62067,-84.36677,20500
33.615214,-84.351011,20500
33.635796,-84.401149,175000
33.627076,-84.400211,223000
33.6471,-84.39778,157000
33.6263,-84.4565,77100
33.63764,-84.45651,118000
33.64036,-84.3764,154000
33.6319,-84.3962,89800
33.6267,-84.4192,171000
33.618927,-84.433062,186000
33.617,-84.4477,190000
33.6179,-84.455,136000
33.612402,-84.290994,15500
33.612627,-84.301385,20900
33.610666,-84.27494,12300
33.630111,-84.31083,18800
33.641011,-84.379366,7600
33.640091,-84.374399,7540
33.641181,-84.353071,3590
33.618244,-84.405761,2760
33.62649,-84.409399,12800
33.647048,-84.454897,32800
33.644392,-84.448139,9020
33.644485,-84.34512,5380
33.610498,-84.328124,17000
33.629612,-84.413209,4870
33.64107,-84.40403,39100
33.60808,-84.31774,10
33.637538,-84.337402,100
33.641612,-84.378307,1110
33.611559,-84.455354,690
33.633443,-84.333162,1190
33.636047,-84.295162,3460
33.635237,-84.346116,210
33.630575,-84.36319,140
33.629106,-84.370419,2060
33.615578,-84.359397,210
33.612701,-84.371474,200
33.633393,-84.375497,60
33.624183,-84.454516,1380
33.614658,-84.445549,9930
33.648178,-84.444557,28100
33.645776,-84.324433,3070
33.62796,-84.342413,2260
33.630016,-84.414947,4280
33.614557,-84.422025,480
33.613385,-84.409987,1550
33.640411,-84.450889,7430
33.632766,-84.451388,4910
33.61412,-84.39687,4020
33.616127,-84.397623,15100
33.63677,-84.40128,930
33.621915,-84.3991,25700
33.630592,-84.39998,14800
33.63419,-84.399295,31400
33.636781,-84.400903,17300
33.64299,-84.399005,18800
33.641453,-84.399933,1510
33.64484,-84.398377,8650
33.637499,-84.40239,8180
33.641154,-84.45329,10800
33.644712,-84.397593,10700
33.645183,-84.397827,4910
33.642216,-84.401473,4290
33.630803,-84.4041,1050
33.634364,-84.386541,9010
33.633695,-84.387281,10900
33.632635,-84.386326,6080
33.6332,-84.385667,6940
33.63435,-84.39851,14000
33.628483,-84.402834,7240
33.629573,-84.403017,38400
33.628945,-84.41692,3880
33.629771,-84.415966,2090
33.630079,-84.412865,5980
33.629648,-84.414328,41500
33.636695,-84.382206,31900
33.624286,-84.422612,6300
33.615962,-84.440409,14400
33.617538,-84.43544,10800
33.617632,-84.45448,12600
33.610406,-84.295209,6160
33.614393,-84.29635,7610
33.632138,-84.301769,5890
33.634801,-84.304403,11600
33.631269,-84.455927,6100
33.634617,-84.456764,14700
33.628809,-84.455356,5130
33.629129,-84.45489,14900
33.616186,-84.398382,8080
33.612282,-84.397241,5700
33.6283,-84.400711,12500
33.623934,-84.40022,40300
33.631486,-84.401174,9590
33.641693,-84.399942,880
33.640227,-84.400454,5780
33.641553,-84.40222,4210
33.644884,-84.399608,6780
33.640745,-84.454469,9230
33.633479,-84.457163,6750
33.629852,-84.456189,12800
33.630601,-84.45652,4060
33.637432,-84.381753,32500
33.630269,-84.414294,39300
33.617856,-84.45227,40400
33.625856,-84.421728,8160
33.618505,-84.43589,12600
33.618282,-84.437064,13500
33.618467,-84.455521,31700
33.617607,-84.438822,1000
33.614974,-84.297196,8900
33.610299,-84.297037,5770
33.634668,-84.30623,13700
33.631683,-84.303491,6470
33.625485,-84.45742,24500
33.857223,-84.485527,1570
33.7732,-84.5546,146000
33.7708,-84.5431,153000
33.77291,-84.551949,5230
33.76295,-84.562985,15900
33.774708,-84.543622,10700
33.873907,-84.500817,25800
33.856414,-84.492152,21600
33.846027,-84.491978,2510
33.835653,-84.470904,20600
33.878633,-84.457603,17300
33.817254,-84.569636,25200
33.812357,-84.551959,25000
33.811374,-84.536263,23300
33.803877,-84.523177,27900
33.798072,-84.511591,28800
33.860519,-84.458693,6670
33.865961,-84.46935,20100
33.861552,-84.486642,21100
33.83171,-84.480688,7080
33.8089,-84.5067,12500
33.825132,-84.496416,21300
33.838851,-84.493,3220
33.81837,-84.557224,8080
33.831874,-84.543709,7970
33.84223,-84.534165,9740
33.845987,-84.514903,6160
33.8172,-84.4961,150000
33.8339,-84.4863,153000
33.855154,-84.483162,177000
33.8745,-84.4753,187000
33.884813,-84.46931,164000
33.814621,-84.572616,30400
33.798936,-84.565157,20200
33.791047,-84.552166,25500
33.782631,-84.539037,24900
33.820921,-84.484372,16900
33.82756,-84.491676,43800
33.840387,-84.496683,31800
33.85104,-84.50905,30400
33.866275,-84.523699,30800
33.884797,-84.534921,30600
33.876127,-84.448194,183000
33.8834,-84.4551,149000
33.8474,-84.550361,30900
33.866797,-84.568074,7710
33.876093,-84.525248,23100
33.868689,-84.551887,8480
33.853754,-84.555732,5980
33.882977,-84.503114,29400
33.883201,-84.478979,34100
33.880601,-84.47402,19100
33.848271,-84.495435,43700
33.877652,-84.463744,13700
33.8597,-84.47967,20300
33.880003,-84.556046,1870
33.843543,-84.564277,60
33.820059,-84.53161,1950
33.863229,-84.547624,130
33.882602,-84.538342,720
33.85323,-84.521509,90
33.860921,-84.495009,160
33.869881,-84.484298,20
33.838818,-84.480814,5120
33.848728,-84.473325,60
33.875483,-84.463479,240
33.8738,-84.515749,410
33.862265,-84.565535,90
33.81713,-84.561275,290
33.802493,-84.564666,590
33.820648,-84.555023,50
33.80006,-84.532178,4960
33.819278,-84.563765,200
33.844273,-84.498018,160
33.850035,-84.571974,70
33.869387,-84.523439,360
33.881287,-84.522736,2750
33.884647,-84.538044,40
33.836936,-84.538663,180
33.875255,-84.499605,120
33.789401,-84.533658,180
33.857537,-84.47776,360
33.880822,-84.561468,4760
33.841379,-84.539375,9010
33.876728,-84.492805,3880
33.837681,-84.481011,6040
33.886449,-84.547493,560
33.88643,-84.46664,41800
33.881852,-84.453388,6420
33.879545,-84.451217,9830
33.885837,-84.456227,2580
33.885146,-84.456799,490
33.884754,-84.455928,4780
33.885242,-84.468137,21000
33.823568,-84.490921,12100
33.825352,-84.488498,10100
33.840947,-84.487003,5790
33.843095,-84.486616,16500
33.861691,-84.480276,7740
33.866882,-84.477978,13000
33.882802,-84.471168,9790
33.773581,-84.56232,4760
33.773372,-84.557482,11700
33.772118,-84.549435,3980
33.88158,-84.454083,17800
33.884764,-84.456595,340
33.884462,-84.457042,3060
33.884658,-84.457015,4630
33.878491,-84.451432,6740
33.826968,-84.488172,12500
33.824729,-84.490722,11600
33.846026,-84.487345,16300
33.84167,-84.487857,5610
33.866339,-84.479449,12800
33.862359,-84.481011,6970
33.886405,-84.467621,7900
33.883791,-84.471357,12700
33.773644,-84.555349,6720
33.774485,-84.564016,6850
33.774327,-84.562348,6390
33.772587,-84.548851,2930
33.66601,-84.197608,15100
33.683883,-84.198477,30000
33.643547,-84.227871,7470
33.661653,-84.227364,13100
33.655852,-84.27471,5360
33.661288,-84.304141,8400
33.651617,-84.284825,9950
33.669148,-84.279425,8330
33.675697,-84.2935,8400
33.673438,-84.268327,8150
33.65522,-84.229747,6170
33.795747,-84.210307,4740
33.655936,-84.31396,2330
33.88564,-84.29655,19100
33.65766,-84.32519,82400
33.780031,-84.30819,35200
33.789051,-84.29738,29200
33.795792,-84.286196,38300
33.774035,-84.335479,29300
33.772553,-84.317501,33200
33.774498,-84.305264,7410
33.784645,-84.293186,19500
33.793617,-84.284027,15100
33.804171,-84.276738,67900
33.807314,-84.273735,22700
33.820448,-84.264434,23000
33.823799,-84.261055,22100
33.832647,-84.244657,23800
33.844455,-84.231433,20600
33.850343,-84.215709,23600
33.855346,-84.209371,22400
33.862556,-84.198952,24800
33.766934,-84.313836,6260
33.763834,-84.312952,2330
33.767308,-84.303374,9630
33.772081,-84.289625,17500
33.774776,-84.280262,17400
33.774812,-84.261788,16600
33.774641,-84.251276,4530
33.776339,-84.244811,30700
33.782322,-84.237091,40300
33.792381,-84.228508,37600
33.800944,-84.206936,33400
33.771219,-84.253976,13200
33.763621,-84.250705,15000
33.757841,-84.239525,20500
33.746528,-84.221194,34300
33.732668,-84.204861,34900
33.846249,-84.325012,21600
33.86138,-84.308111,20300
33.879743,-84.291518,18400
33.653222,-84.332869,22500
33.664515,-84.338671,28200
33.675866,-84.343753,34100
33.768589,-84.349023,30300
33.780684,-84.344279,15700
33.800163,-84.336753,12500
33.820426,-84.3348,18000
33.828157,-84.33076,47900
33.857446,-84.344504,29900
33.761439,-84.253334,5220
33.747437,-84.3305,24200
33.747161,-84.300029,20100
33.748892,-84.278245,27100
33.758779,-84.262415,25900
33.766164,-84.254019,24800
33.772707,-84.249029,28200
33.680762,-84.217602,18100
33.685433,-84.250674,31400
33.703682,-84.270692,24700
33.71093,-84.271661,46300
33.720868,-84.276841,23200
33.732599,-84.283882,23100
33.743248,-84.290224,21300
33.752142,-84.292193,14000
33.767684,-84.292636,15100
33.773563,-84.290718,13000
33.777745,-84.293285,12500
33.782383,-84.300027,19300
33.788573,-84.306943,26100
